id,layer,device,interface,allowed_vlans,native_vlan,trunk_mode,mode,ip_address,subnetmask,portchannel_id
1,3,CLS1,g0/0-3,,,,desirable,172.128.10.1,255.255.255.252,1
2,3,CLS2,g0/0-3,,,,desirable,172.128.10.2,255.255.255.252,1
1,2,DLS1,g2/0-1,"20,30,40,50,99",1000,dynamic desirable,desirable,,,2
2,2,DLS2,g2/0-1,"20,30,40,50,99",1000,dynamic desirable,desirable,,,2
1,2,DLS3,g2/0-1,"20,30,40,50,99",1000,dynamic desirable,desirable,,,5
2,2,DLS4,g2/0-1,"20,30,40,50,99",1000,dynamic desirable,desirable,,,5
1,2,DLS1,g2/2-3,"20,30,40,50,99",1000,dynamic desirable,desirable,,,3
2,2,DLS2,g2/2-3,"20,30,40,50,99",1000,dynamic desirable,desirable,,,4
1,2,DLS3,g2/2-3,"20,30,40,50,99",1000,dynamic desirable,desirable,,,6
2,2,DLS4,g2/2-3,"20,30,40,50,99",1000,dynamic desirable,desirable,,,7
3,2,ALS1,g2/0-1,"20,30,40,50,99",1000,dynamic auto,auto,,,3
4,2,ALS2,g2/0-1,"20,30,40,50,99",1000,dynamic auto,auto,,,6
3,2,ALS1,g2/2-3,"20,30,40,50,99",1000,dynamic auto,auto,,,4
4,2,ALS2,g2/2-3,"20,30,40,50,99",1000,dynamic auto,auto,,,7
